Dataset Size,Alpha,Iterations,Result
100,0.82,7000,1805.32
100,0.82,10000,1805.32
100,0.83,1000,1815.44
100,0.83,4000,1807.86
100,0.83,7000,1807.86
100,0.83,10000,1807.86
100,0.84,1000,1813.94
100,0.84,4000,1813.75
100,0.84,7000,1808.93
100,0.84,10000,1808.93
100,0.85,1000,1814.49
100,0.85,4000,1811.63
100,0.85,7000,1811.63
100,0.85,10000,1805.57
100,0.86,1000,1817.23
100,0.86,4000,1809.6
100,0.86,7000,1808.49
100,0.86,10000,1808.49
100,0.87,1000,1821.59
100,0.87,4000,1802.42
100,0.87,7000,1802.42
100,0.87,10000,1802.42
100,0.88,1000,1805.88
100,0.88,4000,1805.88
100,0.88,7000,1805.88
100,0.88,10000,1805.88
100,0.89,1000,1811.52
100,0.89,4000,1807.24
100,0.89,7000,1804.09
100,0.89,10000,1804.09
100,0.90,1000,1817.09
100,0.90,4000,1810.86
100,0.90,7000,1810.25
100,0.90,10000,1808.9
100,0.91,1000,1812.05
100,0.91,4000,1810.83
100,0.91,7000,1808.0
100,0.91,10000,1808.0
100,0.92,1000,1808.63
100,0.92,4000,1808.63
100,0.92,7000,1808.63
100,0.92,10000,1808.63
100,0.93,1000,1814.29
100,0.93,4000,1808.16
100,0.93,7000,1808.16
100,0.93,10000,1808.16
100,0.94,1000,1819.0
100,0.94,4000,1805.07
100,0.94,7000,1805.07
100,0.94,10000,1802.41
100,0.95,1000,1818.14
100,0.95,4000,1814.23
100,0.95,7000,1805.13
100,0.95,10000,1805.13
100,0.96,1000,1811.08
100,0.96,4000,1806.21
100,0.96,7000,1806.2
100,0.96,10000,1806.2
100,0.97,1000,1810.54
100,0.97,4000,1804.26
100,0.97,7000,1804.26
100,0.97,10000,1804.26
100,0.98,1000,1815.94
100,0.98,4000,1809.72
100,0.98,7000,1809.72
100,0.98,10000,1809.72
100,0.99,1000,1810.22
100,0.99,4000,1804.69
100,0.99,7000,1804.69
100,0.99,10000,1804.69
100,1.00,1000,1818.69
100,1.00,4000,1800.12
100,1.00,7000,1800.12
100,1.00,10000,1800.12

Best Result
Dataset Size,Alpha,Iterations,Result
100,0.25,4000,1796.81
