Dataset Size,Mutation Rate,Population,Iterations,Result
100,0.14,150,1000,2088.13
100,0.14,150,4000,1911.24
100,0.14,150,7000,1894.73
100,0.14,150,10000,1894.73
100,0.14,200,1000,2015.24
100,0.14,200,4000,1866.87
100,0.14,200,7000,1866.87
100,0.14,200,10000,1866.87
100,0.14,250,1000,1997.34
100,0.14,250,4000,1887.05
100,0.14,250,7000,1886.12
100,0.14,250,10000,1886.12
100,0.15,50,1000,2394.83
100,0.15,50,4000,2052.94
100,0.15,50,7000,2023.38
100,0.15,50,10000,2023.38
100,0.15,100,1000,2227.54
100,0.15,100,4000,2083.84
100,0.15,100,7000,2080.17
100,0.15,100,10000,2080.17
100,0.15,150,1000,2062.88
100,0.15,150,4000,1972.41
100,0.15,150,7000,1972.41
100,0.15,150,10000,1972.41
100,0.15,200,1000,2084.39
100,0.15,200,4000,1913.56
100,0.15,200,7000,1906.01
100,0.15,200,10000,1906.01
100,0.15,250,1000,2063.45
100,0.15,250,4000,1870.53
100,0.15,250,7000,1836.8
100,0.15,250,10000,1836.8
100,0.16,50,1000,2341.98
100,0.16,50,4000,2186.67
100,0.16,50,7000,2064.29
100,0.16,50,10000,2039.29
100,0.16,100,1000,2143.93
100,0.16,100,4000,2011.33
100,0.16,100,7000,1953.77
100,0.16,100,10000,1918.36
100,0.16,150,1000,2164.68
100,0.16,150,4000,1932.98
100,0.16,150,7000,1932.98
100,0.16,150,10000,1909.3
100,0.16,200,1000,2206.77
100,0.16,200,4000,1940.58
100,0.16,200,7000,1922.13
100,0.16,200,10000,1910.38
100,0.16,250,1000,2050.79
100,0.16,250,4000,1914.84
100,0.16,250,7000,1878.34
100,0.16,250,10000,1876.96
100,0.17,50,1000,2298.69
100,0.17,50,4000,2057.09
100,0.17,50,7000,2019.26
100,0.17,50,10000,2019.26
100,0.17,100,1000,2155.6
100,0.17,100,4000,1984.68
100,0.17,100,7000,1984.32
100,0.17,100,10000,1968.34
100,0.17,150,1000,2082.88
100,0.17,150,4000,1883.7
100,0.17,150,7000,1879.99
100,0.17,150,10000,1879.99
100,0.17,200,1000,2048.78
100,0.17,200,4000,1848.28
100,0.17,200,7000,1848.28
100,0.17,200,10000,1848.28
100,0.17,250,1000,1992.86
100,0.17,250,4000,1920.01
100,0.17,250,7000,1920.01
100,0.17,250,10000,1920.01
100,0.18,50,1000,2361.55
100,0.18,50,4000,2141.34
100,0.18,50,7000,2003.01
100,0.18,50,10000,1964.15
100,0.18,100,1000,2169.17
100,0.18,100,4000,1939.4
100,0.18,100,7000,1915.64
100,0.18,100,10000,1896.48
100,0.18,150,1000,2029.27
100,0.18,150,4000,1922.48
100,0.18,150,7000,1908.78
100,0.18,150,10000,1908.78
100,0.18,200,1000,2065.54
100,0.18,200,4000,1902.28
100,0.18,200,7000,1893.81
100,0.18,200,10000,1873.52
100,0.18,250,1000,2020.58
100,0.18,250,4000,1927.37
100,0.18,250,7000,1925.24
100,0.18,250,10000,1890.5
100,0.19,50,1000,2458.19
100,0.19,50,4000,2143.73
100,0.19,50,7000,2130.09
100,0.19,50,10000,2130.09
100,0.19,100,1000,2181.97
100,0.19,100,4000,1952.46
100,0.19,100,7000,1946.78
100,0.19,100,10000,1914.72
100,0.19,150,1000,2086.57
100,0.19,150,4000,1971.76
100,0.19,150,7000,1971.76
100,0.19,150,10000,1971.76
100,0.19,200,1000,2027.84
100,0.19,200,4000,1883.65
