Dataset Size,Number of Ants,Alpha,Beta,Evaporation,Q,Iterations,Result
100,30,0.10,1.00,0.70,13,100,4650.0
100,30,0.10,1.00,0.70,13,150,4650.0
100,30,0.10,1.00,0.70,13,200,4650.0
100,30,0.10,1.00,0.80,1,50,4757.0
100,30,0.10,1.00,0.80,1,100,4605.0
100,30,0.10,1.00,0.80,1,150,4605.0
100,30,0.10,1.00,0.80,1,200,4288.0
100,30,0.10,1.00,0.80,3,50,4795.0
100,30,0.10,1.00,0.80,3,100,4631.0
100,30,0.10,1.00,0.80,3,150,4573.0
100,30,0.10,1.00,0.80,3,200,4573.0
100,30,0.10,1.00,0.80,5,50,4683.0
100,30,0.10,1.00,0.80,5,100,4683.0
100,30,0.10,1.00,0.80,5,150,4683.0
100,30,0.10,1.00,0.80,5,200,4683.0
100,30,0.10,1.00,0.80,7,50,4693.0
100,30,0.10,1.00,0.80,7,100,4693.0
100,30,0.10,1.00,0.80,7,150,4693.0
100,30,0.10,1.00,0.80,7,200,4653.0
100,30,0.10,1.00,0.80,9,50,4790.0
100,30,0.10,1.00,0.80,9,100,4750.0
100,30,0.10,1.00,0.80,9,150,4453.0
100,30,0.10,1.00,0.80,9,200,4453.0
100,30,0.10,1.00,0.80,11,50,4524.0
100,30,0.10,1.00,0.80,11,100,4509.0
100,30,0.10,1.00,0.80,11,150,4509.0
100,30,0.10,1.00,0.80,11,200,4509.0
100,30,0.10,1.00,0.80,13,50,4670.0
100,30,0.10,1.00,0.80,13,100,4417.0
100,30,0.10,1.00,0.80,13,150,4417.0
100,30,0.10,1.00,0.80,13,200,4417.0
100,30,0.10,1.00,0.90,1,50,4953.0
100,30,0.10,1.00,0.90,1,100,4742.0
100,30,0.10,1.00,0.90,1,150,4742.0
100,30,0.10,1.00,0.90,1,200,4607.0
100,30,0.10,1.00,0.90,3,50,4933.0
100,30,0.10,1.00,0.90,3,100,4791.0
100,30,0.10,1.00,0.90,3,150,4636.0
100,30,0.10,1.00,0.90,3,200,4405.0
100,30,0.10,1.00,0.90,5,50,4903.0
100,30,0.10,1.00,0.90,5,100,4732.0
100,30,0.10,1.00,0.90,5,150,4732.0
100,30,0.10,1.00,0.90,5,200,4537.0
100,30,0.10,1.00,0.90,7,50,4911.0
100,30,0.10,1.00,0.90,7,100,4669.0
100,30,0.10,1.00,0.90,7,150,4669.0
100,30,0.10,1.00,0.90,7,200,4478.0
100,30,0.10,1.00,0.90,9,50,4950.0
100,30,0.10,1.00,0.90,9,100,4634.0
100,30,0.10,1.00,0.90,9,150,4634.0
100,30,0.10,1.00,0.90,9,200,4497.0
100,30,0.10,1.00,0.90,11,50,4759.0
100,30,0.10,1.00,0.90,11,100,4759.0
100,30,0.10,1.00,0.90,11,150,4718.0
100,30,0.10,1.00,0.90,11,200,4694.0
100,30,0.10,1.00,0.90,13,50,4813.0
100,30,0.10,1.00,0.90,13,100,4606.0
100,30,0.10,1.00,0.90,13,150,4510.0
100,30,0.10,1.00,0.90,13,200,4510.0
100,30,0.10,1.00,1.00,1,50,4953.0
100,30,0.10,1.00,1.00,1,100,4816.0
100,30,0.10,1.00,1.00,1,150,4816.0
100,30,0.10,1.00,1.00,1,200,4816.0
100,30,0.10,1.00,1.00,3,50,4953.0
100,30,0.10,1.00,1.00,3,100,4867.0
100,30,0.10,1.00,1.00,3,150,4843.0
100,30,0.10,1.00,1.00,3,200,4788.0
100,30,0.10,1.00,1.00,5,50,4953.0
100,30,0.10,1.00,1.00,5,100,4867.0
100,30,0.10,1.00,1.00,5,150,4843.0
100,30,0.10,1.00,1.00,5,200,4788.0
100,30,0.10,1.00,1.00,7,50,4953.0
100,30,0.10,1.00,1.00,7,100,4742.0
100,30,0.10,1.00,1.00,7,150,4742.0
100,30,0.10,1.00,1.00,7,200,4742.0
100,30,0.10,1.00,1.00,9,50,4953.0
100,30,0.10,1.00,1.00,9,100,4852.0
100,30,0.10,1.00,1.00,9,150,4843.0
100,30,0.10,1.00,1.00,9,200,4788.0
100,30,0.10,1.00,1.00,11,50,4953.0
100,30,0.10,1.00,1.00,11,100,4852.0
100,30,0.10,1.00,1.00,11,150,4787.0
100,30,0.10,1.00,1.00,11,200,4783.0
100,30,0.10,1.00,1.00,13,50,4953.0
100,30,0.10,1.00,1.00,13,100,4852.0
100,30,0.10,1.00,1.00,13,150,4843.0
100,30,0.10,1.00,1.00,13,200,4783.0
100,30,0.10,1.50,0.10,1,50,2994.0
100,30,0.10,1.50,0.10,1,100,2964.0
100,30,0.10,1.50,0.10,1,150,2891.0
100,30,0.10,1.50,0.10,1,200,2891.0
100,30,0.10,1.50,0.10,3,50,3035.0
100,30,0.10,1.50,0.10,3,100,2869.0
100,30,0.10,1.50,0.10,3,150,2869.0
100,30,0.10,1.50,0.10,3,200,2869.0
100,30,0.10,1.50,0.10,5,50,3036.0
100,30,0.10,1.50,0.10,5,100,2915.0
100,30,0.10,1.50,0.10,5,150,2915.0
100,30,0.10,1.50,0.10,5,200,2915.0
100,30,0.10,1.50,0.10,7,50,3074.0
100,30,0.10,1.50,0.10,7,100,2900.0
100,30,0.10,1.50,0.10,7,150,2900.0
100,30,0.10,1.50,0.10,7,200,2876.0
100,30,0.10,1.50,0.10,9,50,2973.0
100,30,0.10,1.50,0.10,9,100,2919.0
100,30,0.10,1.50,0.10,9,150,2919.0
100,30,0.10,1.50,0.10,9,200,2829.0
100,30,0.10,1.50,0.10,11,50,2998.0
100,30,0.10,1.50,0.10,11,100,2923.0
100,30,0.10,1.50,0.10,11,150,2923.0
100,30,0.10,1.50,0.10,11,200,2907.0
100,30,0.10,1.50,0.10,13,50,3083.0
100,30,0.10,1.50,0.10,13,100,2954.0
